Table V9.0,keyName,OriginalKey,ExpandedKey,Duplicate,Activity code
BILLLADD,BOLD0,BOLNUM+BOLLIN,BOLNUM(BOL number) +   BOLLIN(BOL line) +   ,No,
BILLLADD,BOLD1,BOLNUM+FRTCLS+PCK+NMFC,BOLNUM(BOL number) +   FRTCLS(Freight class) +   PCK(Packaging) +   NMFC(NMFC) +   ,Yes,
BILLLADH,BOLH0,BOLNUM,BOLNUM(BOL number) +   ,No,
BILLLADWRK,BOLW0,REQNUM+USER+BOLNUM+BOLLIN,REQNUM(Request no.) +   USER(User code) +   BOLNUM(BOL number) +   BOLLIN(BOL line) +   ,No,
BILSTA,BES0,FRMNUM+LIN,FRMNUM(Internal statement no.) +   LIN(Number) +   ,No,
BILSTA,BES1,PAYNUM+FRMNUM+LIN,PAYNUM(Payment) +   FRMNUM(Internal statement no.) +   LIN(Number) +   ,No,
BITMPPORDERP,BIPOP0,BIPOPADXUID+POHNUM+POPLIN+POPSEQ,BIPOPADXUID(Identifier) +   POHNUM(Order no.) +   POPLIN(Line) +   POPSEQ(Sequence) +   ,No,
BITMPPORDERQ,BIPOQ0,BIPOQADXUID+POHNUM+POPLIN+POQSEQ,BIPOQADXUID(Identifier) +   POHNUM(Order no.) +   POPLIN(Line) +   POQSEQ(Sequence number) +   ,No,
BITMPSORDERP,BISOP0,BISOPADXUID+SOHNUM+SOPLIN+SOPSEQ,BISOPADXUID(Identifier) +   SOHNUM(Order no.) +   SOPLIN(Line) +   SOPSEQ(Sequence) +   ,No,
BITMPSORDERQ,BISOQ0,BISOQADXUID+SOHNUM+SOPLIN+SOQSEQ,BISOQADXUID(Identifier) +   SOHNUM(Order no.) +   SOPLIN(Line) +   SOQSEQ(Sequence number) +   ,No,
BLACMM,BLM0,LEDTYP+CPY+FCY+FIY+ACC+BPR+CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9+CUR,LEDTYP(Ledger type) +   CPY(Company) +   FCY(Site) +   FIY(Fiscal year) +   ACC(General accounts) +   BPR(BP) +   CCE1(Analytical dimension 1) +   CCE2(Analytical dimension 2) +   CCE3(Analytical dimension 3) +   CCE4(Analytical dimension 4) +   CCE5(Analytical dimension 5) +   CCE6(Analytical dimension 6) +   CCE7(Analytical dimension 7) +   CCE8(Analytical dimension 8) +   CCE9(Analytical dimension 9) +   CUR(Currency) +   ,No,
BLACMM,BLM1,ACCNUM,ACCNUM(Unique number) +   ,No,
BLAQTY,BLQ0,LEDTYP+CPY+FCY+FIY+ACC+BPR+CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9+CUR,LEDTYP(Ledger type) +   CPY(Company) +   FCY(Site) +   FIY(Fiscal year) +   ACC(General accounts) +   BPR(BP) +   CCE1(Analytical dimension 1) +   CCE2(Analytical dimension 2) +   CCE3(Analytical dimension 3) +   CCE4(Analytical dimension 4) +   CCE5(Analytical dimension 5) +   CCE6(Analytical dimension 6) +   CCE7(Analytical dimension 7) +   CCE8(Analytical dimension 8) +   CCE9(Analytical dimension 9) +   CUR(Currency) +   ,No,
BLAQTY,BLQ1,ACCNUM,ACCNUM(Unique number) +   ,No,
BLAQTY,BLQ3,LEDTYP+CUR+FCY+FIY+ACC+CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9+BPR+CPY,LEDTYP(Ledger type) +   CUR(Currency) +   FCY(Site) +   FIY(Fiscal year) +   ACC(General accounts) +   CCE1(Analytical dimension 1) +   CCE2(Analytical dimension 2) +   CCE3(Analytical dimension 3) +   CCE4(Analytical dimension 4) +   CCE5(Analytical dimension 5) +   CCE6(Analytical dimension 6) +   CCE7(Analytical dimension 7) +   CCE8(Analytical dimension 8) +   CCE9(Analytical dimension 9) +   BPR(BP) +   CPY(Company) +   ,No,
BLOBEXPENSES,BEXP0,ACCNUM,ACCNUM(Internal number) +   ,No,
BLOBEXPENSES,BEXP1,CLB+DATEXS,CLB(Employee) +   DATEXS(Date) +   ,Yes,
BNKTRSIMP,TFH0,FICHIER+LIN,FICHIER(File name) +   LIN(Line number) +   ,No,
BOM,BOH0,ITMREF+BOMALT+BOMALTTYP,ITMREF(Parent product) +   BOMALT(BOM code) +   BOMALTTYP(BOM type) +   ,No,
BOMD,BOD0,ITMREF+BOMALT+BOMSEQ+CPNITMREF+BOMALTTYP,ITMREF(Parent product) +   BOMALT(BOM code) +   BOMSEQ(Sequence) +   CPNITMREF(Component) +   BOMALTTYP(BOM type) +   ,No,
BOMD,BOD1,CPNITMREF+ITMREF+BOMALT+BOMSEQ+BOMALTTYP,CPNITMREF(Component) +   ITMREF(Parent product) +   BOMALT(BOM code) +   BOMSEQ(Sequence) +   BOMALTTYP(BOM type) +   ,No,
BOMD,BOD2,ITMREF+BOMALT+BOMSEQ+BOMSEQNUM+CPNITMREF+BOMALTTYP,ITMREF(Parent product) +   BOMALT(BOM code) +   BOMSEQ(Sequence) +   BOMSEQNUM(Sequence remainder) +   CPNITMREF(Component) +   BOMALTTYP(BOM type) +   ,No,
BOMD,BOD3,BOMALT+CPNITMREF+BOMALTTYP+ITMREF+BOMSEQ,BOMALT(BOM code) +   CPNITMREF(Component) +   BOMALTTYP(BOM type) +   ITMREF(Parent product) +   BOMSEQ(Sequence) +   ,No,
BOMD,BOD4,BOMALT+ITMREF+BOMALTTYP+CPNITMREF+BOMSEQ,BOMALT(BOM code) +   ITMREF(Parent product) +   BOMALTTYP(BOM type) +   CPNITMREF(Component) +   BOMSEQ(Sequence) +   ,No,
BOMPRN,BOP0,BOPUID+BOMALTTYP+BOMALT+ITMREF+LIG,BOPUID(Process no.) +   BOMALTTYP(BOM type) +   BOMALT(BOM code) +   ITMREF(Parent product) +   LIG(Line number) +   ,No,
BOMRET,BMR0,BMRUID+ITMREF+NIV,BMRUID(Process no.) +   ITMREF(Product) +   NIV(Level) +   ,No,
BOMWUS,BOW0,BOWUID+ITMREF+BOMALT+BOMSEQ+CPNITMREF+BOMALTTYP,BOWUID(Process no.) +   ITMREF(Parent product) +   BOMALT(BOM code) +   BOMSEQ(Sequence) +   CPNITMREF(Component) +   BOMALTTYP(BOM type) +   ,No,
BOMWUS,BOW1,BOWUID+BOMALT+BOMALTTYP+ITMREF+BOMSEQ+CPNITMREF,BOWUID(Process no.) +   BOMALT(BOM code) +   BOMALTTYP(BOM type) +   ITMREF(Parent product) +   BOMSEQ(Sequence) +   CPNITMREF(Component) +   ,No,
BOX1099,BX90,FRM1099+BOX1099,FRM1099(1099 form) +   BOX1099(1099 box) +   ,No,
BP1096PRN,B96R0,YR1099+CPY+NUMLIG,YR1099(Year) +   CPY(Company) +   NUMLIG(Line no.) +   ,No,
BP1099BEGBAL,B9B0,YR1099+CPY+BPSNUM+SEQ,YR1099(Year) +   CPY(Company) +   BPSNUM(Supplier) +   SEQ(Sequence) +   ,Yes,
BP1099BEGBAL,B9B1,YR1099+CPY+BPSNUM+FRM1099+BOX1099,YR1099(Year) +   CPY(Company) +   BPSNUM(Supplier) +   FRM1099(1099 form) +   BOX1099(1099 box) +   ,No,
BP1099PRN,B9R0,YR1099+CPY+BPSNUM+NUMLIG,YR1099(Year) +   CPY(Company) +   BPSNUM(Supplier) +   NUMLIG(Line no.) +   ,No,
BPADDRESS,BPA0,BPATYP+BPANUM+BPAADD,BPATYP(Entity type) +   BPANUM(Entity) +   BPAADD(Address) +   ,No,
BPARTNER,BPR0,BPRNUM,BPRNUM(BP) +   ,No,
BPARTNER,BPR1,BPRSHO,BPRSHO(Short description) +   ,Yes,
BPARTNER,BPR2,BETFCY+FCY+BPRNUM,BETFCY(Intersite) +   FCY(Site) +   BPRNUM(BP) +   ,No,
BPCARRIER,BPT0,BPTNUM,BPTNUM(Carrier) +   ,No,
BPCARRIER,BPT1,BPTNAM,BPTNAM(Company name) +   ,Yes,
BPCCATEG,BCG0,BCGCOD,BCGCOD(Category) +   ,No,
BPCINVLIG,SIL0,NUM+LIG,NUM(Document no.) +   LIG(Line number) +   ,No,
BPCINVLIGA,SIA0,NUM+LIG+ANALIG,NUM(Document no.) +   LIG(Line number) +   ANALIG(Order information) +   ,No,
BPCINVVAT,SIT0,NUM,NUM(Invoice number) +   ,No,
BPCUSTMVT,MVC0,BPCRSK+CPY+BPCNUM+CUR,BPCRSK(Risk BP) +   CPY(Company) +   BPCNUM(Customer) +   CUR(Currency) +   ,No,
BPCUSTMVT,MVC1,BPCNUM+CPY,BPCNUM(Customer) +   CPY(Company) +   ,Yes,
BPCUSTOMER,BPC0,BPCNUM,BPCNUM(Customer) +   ,No,
BPCUSTOMER,BPC1,BPCNAM,BPCNAM(Company name) +   ,Yes,
BPDLVCUST,BPD0,BPCNUM+BPAADD,BPCNUM(Customer) +   BPAADD(Delivery address) +   ,No,
BPDLVCUST,BPD1,RCPFCY+BPCNUM+BPAADD,RCPFCY(Receiving site) +   BPCNUM(Customer) +   BPAADD(Delivery address) +   ,No,
BPEXCEPT,BPE0,BPRNUM+CPY,BPRNUM(BP) +   CPY(Company) +   ,No,
BPMISC,BPM0,BPRTYP+BPRNUM,BPRTYP(BP type) +   BPRNUM(BP code) +   ,No,
BPMISCCGF,BPG0,BPRTYP+LAN,BPRTYP(BP type) +   LAN(Language) +   ,Yes,
BPS1099GEN,B9G0,YR1099+CPY+BPSNUM+FRM1099+BOX1099,YR1099(Year) +   CPY(Company) +   BPSNUM(Supplier) +   FRM1099(1099 form) +   BOX1099(1099 box) +   ,No,
BPS1099GEN,B9G1,YR1099+CPY+BPSNUM,YR1099(Year) +   CPY(Company) +   BPSNUM(Supplier) +   ,Yes,
BPS1099GEN,B9G2,YR1099+CPY+BPSNUM+FRM1099,YR1099(Year) +   CPY(Company) +   BPSNUM(Supplier) +   FRM1099(1099 form) +   ,Yes,
BPS1099MNT,B9M0,YR1099+CPY+BPSNUM+FRM1099+BOX1099,YR1099(Year) +   CPY(Company) +   BPSNUM(Supplier) +   FRM1099(1099 form) +   BOX1099(Supplier 1099 box) +   ,No,
BPS1099PAY,B9P0,YR1099+CPY+BPSNUM+PAYNUM+PAYLIN,YR1099(Year) +   CPY(Company) +   BPSNUM(Supplier) +   PAYNUM(Payment number) +   PAYLIN(Line) +   ,No,
BPS1099PAY,B9P1,YR1099+CPY+BPSNUM+FRM1099+BOX1099,YR1099(Year) +   CPY(Company) +   BPSNUM(Supplier) +   FRM1099(1099 form) +   BOX1099(1099 box) +   ,Yes,
BPSCATEG,BSG0,BSGCOD,BSGCOD(Category) +   ,No,
BPSHISUPLN,BSL0,BPSNUM+CPY+BPSSHI+BPSADD,BPSNUM(Supplier) +   CPY(Company) +   BPSSHI(Ship-from supplier) +   BPSADD(Ship-from address) +   ,No,
BPSHISUPLN,BSL1,BPSSHI+BPSADD,BPSSHI(Ship-from supplier) +   BPSADD(Ship-from address) +   ,Yes,
BPSHISUPP,BSS0,BPSSHI+BPSADD,BPSSHI(Ship-from supplier) +   BPSADD(Ship-from address) +   ,No,
BPSINVLIG,PIL0,NUM+LIG,NUM(Document no.) +   LIG(Line number) +   ,No,
BPSINVLIGA,PIA0,NUM+LIG+ANALIG,NUM(Document no.) +   LIG(Line number) +   ANALIG(Order information) +   ,No,
BPSUPPLIER,BPS0,BPSNUM,BPSNUM(Supplier) +   ,No,
BPSUPPLIER,BPS1,BPSNAM,BPSNAM(Company name) +   ,Yes,
BPSUPPLIER,BPS2,BPSSHO,BPSSHO(Short description) +   ,Yes,
BPSUPPMVT,MVS0,BPSRSK+CPY+BPSNUM+CUR,BPSRSK(Risk BP) +   CPY(Company) +   BPSNUM(Supplier) +   CUR(Transaction currency) +   ,No,
BPSUPPMVT,MVS1,BPSNUM+CPY,BPSNUM(Supplier) +   CPY(Company) +   ,Yes,
BRDKEY,BRD0,CPY+BRDREF+DSPKEY,CPY +   BRDREF +   DSPKEY +   ,No,
BRDKEY,BRD1,CPY+BRDREF,CPY +   BRDREF +   ,No,
BUD,BUD0,LEDTYP+BUD+CPY+FCY+FIY+VER+ACC+CCE1+CCE2+CCE3,LEDTYP(Ledger type) +   BUD(Budget) +   CPY(Company) +   FCY(Site) +   FIY(Fiscal year) +   VER(Version) +   ACC(General accounts) +   CCE1(Dimension type 1) +   CCE2(Dimension type 2) +   CCE3(Dimension type 3) +   ,No,
BUD,BUD1,ACCNUM,ACCNUM(Unique number) +   ,No,
BUD,BUD2,CCE2+ACCNUM,CCE2(Dimension type 2) +   ACCNUM(Unique number) +   ,No,
BUD,BUD3,CCE2+FIY+CCE1+ACC,CCE2(Dimension type 2) +   FIY(Fiscal year) +   CCE1(Dimension type 1) +   ACC(General accounts) +   ,Yes,
BUD,BUD4,CCE2+FIY,CCE2(Dimension type 2) +   FIY(Fiscal year) +   ,Yes,
BUDAPP,BOA0,NUM,NUM(Approval no.) +   ,No,
BUDAPP,BOA1,TYP+ENV+FIY+ACC,TYP(Type) +   ENV(Envelope) +   FIY(Fiscal year) +   ACC(Account) +   ,Yes,
BUDAPPDET,BAD0,NUMERO+NUMAPP,NUMERO(Number) +   NUMAPP(Approval no.) +   ,No,
BUDAPPDET,BAD1,NUMAPP+NUMERO,NUMAPP(Approval no.) +   NUMERO(Number) +   ,No,
BUDFORCAL,BUC0,BUDFOR+LIN,BUDFOR(Formula) +   LIN(Line number) +   ,No,
BUDOD,BDE0,NUM,NUM(Document no.) +   ,No,
BUDODS,BDO0,NUM+LIN,NUM(Document no.) +   LIN(Line number) +   ,No,
BUDPAR,BUP0,BUD,BUD(Budget) +   ,No,
BUDPURAUD,BUA0,TYP+TYPPCE+NUM+LIN+SEQ+ANALIN+FIY,TYP(Document type) +   TYPPCE(Entry type) +   NUM(Document no.) +   LIN(Line number) +   SEQ(Sequence) +   ANALIN(Order information) +   FIY(Fiscal year) +   ,Yes,
BUDPURAUD,BUA1,BUANUM,BUANUM(Unique number) +   ,No,
BUDREV,BRV0,NUM,NUM(Review no.) +   ,No,
BUDREV,BRV1,TYP+ENV+FIY+ACC,TYP(Review type) +   ENV(Envelope) +   FIY(Fiscal year) +   ACC(Account) +   ,Yes,
BUDREVDET,BVD0,NUMERO+NUMREV,NUMERO(Number) +   NUMREV(Review no.) +   ,No,
BUDTYP,BUT0,BUDCOD,BUDCOD(Code) +   ,No,
BUDVARCAL,BVC0,BUDFOR+VARCOD,BUDFOR(Formula) +   VARCOD(Variable) +   ,No,
BUDVER,BUV0,BUD+VER,BUD(Budget) +   VER(Version) +   ,No,
BUILOCSPA,BLS0,NUM,NUM(Document no.) +   ,No,
CAAUZ,CAZ0,TYP+AUZ1+AUZ2,TYP(Restriction type) +   AUZ1(Restriction code) +   AUZ2(Restriction code) +   ,No,
CACCE,CCE0,DIE+CCE,DIE(Dimension type code) +   CCE(Dimension) +   ,No,
CACCEDEF,CDE0,COD+CPY,COD(Code) +   CPY(Company) +   ,No,
CADIEDEF,CDI0,OBJ,OBJ(Object) +   ,No,
CADISTMP,DTP0,DTP,DTP(Distribution) +   ,No,
CADSP,DSP0,DSP+NBRDSP,DSP(Key) +   NBRDSP(Number of lines) +   ,No,
CALCDBG,CDG0,BRKNORD,BRKNORD +   ,No,
CALIBRAT,CBT0,FCY+SLE+CBTDAT+MVTSEQ,FCY(Manufacturing site) +   SLE(Weighing scale) +   CBTDAT(Calibration date) +   MVTSEQ(Sequence) +   ,No,
CALIGUIDES,CGD0,CGD+CGDLIG,CGD(Calibration guides) +   CGDLIG(Line) +   ,No,
CALLATTEMP,CTT0,CTTNUM,CTTNUM +   ,No,
CALLATTEMP,CTT1,CTTCMP,CTTCMP +   ,Yes,
CALLATTEMP,CTT2,CTTCCN,CTTCCN +   ,Yes,
CAPFLOTMP,CWT0,NUMREQ+LIN,NUMREQ(Query no.) +   LIN(Line number) +   ,No,
CAPVAR,CPV0,WST+WCRFCY,WST(Work center) +   WCRFCY(Manufacturing site) +   ,No,
CARAREA,CAA0,BPTNUM+LINNUM,BPTNUM(Carrier) +   LINNUM(Line number) +   ,No,
CARAREA,CAA1,BPTNUM+STOFCY+CRY+POSCOD,BPTNUM(Carrier) +   STOFCY(Shipment site) +   CRY(Country) +   POSCOD(Postal code) +   ,Yes,
CARPRICE,CAP0,BPTNUM+BPTARE+RANG,BPTNUM(Carrier) +   BPTARE(Region) +   RANG(Sequence) +   ,No,
CARPRICE,CAP1,BPTNUM+RANG+BPTARE,BPTNUM(Carrier) +   RANG(Sequence) +   BPTARE(Region) +   ,No,
CARPRICE,CAP2,BPTNUM+BPTARE+MAXQTY,BPTNUM(Carrier) +   BPTARE(Region) +   MAXQTY(Maximum quantity included) +   ,No,
CASHING,CAS0,GRAREF+CASHDAT,GRAREF +   CASHDAT +   ,No,
CASHING,CAS1,CPY+GRAREF+CASHDAT,CPY +   GRAREF +   CASHDAT +   ,No,
CASHING,CAS2,CPY+FCY+GRAREF+CASHDAT,CPY +   FCY +   GRAREF +   CASHDAT +   ,No,
CASHPAYSPA,CPS0,TYP+NUM+LIN,TYP(Entry type) +   NUM(Document no.) +   LIN(Line no.) +   ,No,
CASHPAYSPA,CPS1,ACCNUM+LIN,ACCNUM(Internal number) +   LIN(Line no.) +   ,No,
CASHPAYSPA,CPS2,BPRNUM,BPRNUM(BP code) +   ,Yes,
CBLOB,CBB0,CODBLB+IDENT1+IDENT2,CODBLB(Code) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   ,No,
CBNDET,CBD0,STOFCY+ITMREF+BUC+REQDAT+WIPTYP+WIPNUM,STOFCY(Storage site) +   ITMREF(Product) +   BUC(Period) +   REQDAT(Requirement date) +   WIPTYP(Order type) +   WIPNUM(Order no.) +   ,No,
CBNDET,CBD1,STOFCY+SUGTYP+SUGSTA+SUGNUM,STOFCY(Storage site) +   SUGTYP(Order type) +   SUGSTA(WIP status) +   SUGNUM(Order no.) +   ,Yes,
CBNDET,CBD2,STOFCY+ITMREF+WIPTYP+WIPSTA,STOFCY(Storage site) +   ITMREF(Product) +   WIPTYP(Order type) +   WIPSTA(WIP status) +   ,Yes,
CBNDET,CBD3,ITMREF+STOFCY+BUC+REQDAT+WIPTYP+WIPNUM,ITMREF(Product) +   STOFCY(Storage site) +   BUC(Period) +   REQDAT(Requirement date) +   WIPTYP(Order type) +   WIPNUM(Order no.) +   ,No,
CBNDET,CBD4,ITMREFORI+STOFCY+WIPTYP+WIPSTA,ITMREFORI(Source product) +   STOFCY(Storage site) +   WIPTYP(Order type) +   WIPSTA(WIP status) +   ,Yes,
CBNHEA,CBH0,STOFCY+ITMREF,STOFCY(Storage site) +   ITMREF(Product) +   ,No,
CBNHEA,CBH1,STOFCY+LLC+ITMREF,STOFCY(Storage site) +   LLC(Lowest level code) +   ITMREF(Product) +   ,No,
CBNWRK,CBW0,STOFCY+ITMREF+RECCOD+DAT,STOFCY(Storage site) +   ITMREF(Product) +   RECCOD(Code) +   DAT(Date) +   ,No,
CCMACTION,CCMACT_0,ACTIONID,ACTIONID(Action ID) +   ,No,
CCMAPPROVER,CCMAPPR0,CRID+APPRLN,CRID(Request ID) +   APPRLN(Line no.) +   ,No,
CCMAPPROVER,CCMAPPR1,CRID+APPRUSER,CRID(Request ID) +   APPRUSER(User code) +   ,Yes,
CCMAPPROVER,CCMAPPR2,CRID+SORTSEQ,CRID(Request ID) +   SORTSEQ(Sort sequence) +   ,Yes,
CCMCHGREQ,CCMCR0,CRID,CRID(Request ID) +   ,No,
CCMCRDESC,CCMCR0,CRID,CRID(Request ID) +   ,No,
CCMCRNOTES,CCMCRN0,CRID+NOTELINE,CRID(Request ID) +   NOTELINE(Line number) +   ,No,
CCMCRORIGC,CCMCROC0,CRID+ORIGCLN,CRID(Request ID) +   ORIGCLN(Line number) +   ,No,
CCMCRORIGC,CCMCROC1,CRID+BPCNUM,CRID(Request ID) +   BPCNUM(Customer) +   ,No,
CCMCRORIGC,CCMCROC2,CRID+SORTSEQ,CRID(Request ID) +   SORTSEQ(Sort sequence) +   ,Yes,
CCMCRORIGE,CCMCROE0,CRID+ORIGELN,CRID(Request ID) +   ORIGELN(Line number) +   ,No,
CCMCRORIGE,CCMCROE1,CRID+EXTCONTACT,CRID(Request ID) +   EXTCONTACT(Contact) +   ,No,
CCMCRORIGE,CCMCROE2,CRID+SORTSEQ,CRID(Request ID) +   SORTSEQ(Sort sequence) +   ,Yes,
CCMCRORIGI,CCMCROI0,CRID+ORIGILN,CRID(Request ID) +   ORIGILN(Line number) +   ,No,
CCMCRORIGI,CCMCROI1,CRID+USER,CRID(Request ID) +   USER(User code) +   ,No,
CCMCRORIGI,CCMCROI2,CRID+SORTSEQ,CRID(Request ID) +   SORTSEQ(Sort sequence) +   ,Yes,
CCMCRORIGS,CCMCROS0,CRID+ORIGSLN,CRID(Request ID) +   ORIGSLN(Line number) +   ,No,
CCMCRORIGS,CCMCROS1,CRID+BPSNUM,CRID(Request ID) +   BPSNUM(Supplier) +   ,No,
CCMCRORIGS,CCMCROS2,CRID+SORTSEQ,CRID(Request ID) +   SORTSEQ(Sort sequence) +   ,Yes,
CCMIMPBOD,CCMBOD0,CRID+LINENO,CRID(Request ID) +   LINENO(No.) +   ,No,
CCMIMPBOD,CCMBOD1,CRID+SORTSEQ,CRID(Request ID) +   SORTSEQ(Sort sequence) +   ,No,
CCMIMPBOH,CCMBOH0,CRID,CRID(Request ID) +   ,No,
CCMIMPFOD,CCMIFOD0,CRID+LINENO,CRID(Request ID) +   LINENO(Line no.) +   ,No,
CCMIMPFOD,CCMIFOD1,CRID+SORTSEQ,CRID(Request ID) +   SORTSEQ(Sort sequence) +   ,No,
CCMIMPFOH,CCMIFOH0,CRID,CRID(Request ID) +   ,No,
CCMIMPITM,CCMITM0,CRID,CRID(Request ID) +   ,No,
CCMIMPITMDET,CCMITD0,CRID+LINENO,CRID(Request ID) +   LINENO(No.) +   ,No,
CCMIMPITMDET,CCMITD1,CRID+SORTSEQ,CRID(Request ID) +   SORTSEQ(Sort sequence) +   ,No,
CCMIMPMFGD,CCMMFGD0,CRID+LINENO,CRID(Request ID) +   LINENO(Line no.) +   ,No,
CCMIMPMFGD,CCMMFGD1,CRID+SORTSEQ,CRID(Request ID) +   SORTSEQ(Sort sequence) +   ,Yes,
CCMIMPMFGH,CCMMFGH0,CRID,CRID(Request ID) +   ,No,
CCMIMPPOD,CCMPOD0,CRID+LINENO,CRID(Request ID) +   LINENO(No.) +   ,No,
CCMIMPPOD,CCMPOD1,CRID+SORTSEQ,CRID(Request ID) +   SORTSEQ(Sort sequence) +   ,No,
CCMIMPPOD,CCMPOD2,CRID+BPSNUM+POHNUM,CRID(Request ID) +   BPSNUM(Supplier) +   POHNUM(Order number) +   ,Yes,
CCMIMPPOH,CCMPOH0,CRID,CRID(Request ID) +   ,No,
CCMIMPPRD,CCMPRD0,CRID+LINENO,CRID(Request ID) +   LINENO(No.) +   ,No,
CCMIMPPRD,CCMPRD2,CRID+SORTSEQ,CRID(Request ID) +   SORTSEQ(Sort sequence) +   ,No,
CCMIMPPRH,CCMPRH0,CRID,CRID(Request ID) +   ,No,
CCMIMPROD,CCMROD0,CRID+LINENO,CRID(Request ID) +   LINENO(No.) +   ,No,
CCMIMPROD,CCMROD1,CRID+SORTSEQ,CRID(Request ID) +   SORTSEQ(Sort sequence) +   ,No,
CCMIMPROH,CCMROH0,CRID,CRID(Request ID) +   ,No,
CCMIMPSCD,CCMSCD,CRID+LINENO,CRID(Request ID) +   LINENO(No.) +   ,No,
CCMIMPSCH,CCMSCH0,CRID,CRID(Request ID) +   ,No,
CCMIMPSOD,CCMSOD0,CRID+LINENO,CRID(Request ID) +   LINENO(No.) +   ,No,
CCMIMPSOD,CCMSOD1,CRID+SORTSEQ,CRID(Request ID) +   SORTSEQ(Sort sequence) +   ,No,
CCMIMPSOD,CCMSOD2,CRID+BPCORD+SOHNUM,CRID(Request ID) +   BPCORD(Sold-to) +   SOHNUM(Order number) +   ,Yes,
CCMIMPSOH,CCMSOH0,CRID,CRID(Request ID) +   ,No,
CCMIMPSQD,CCMSQD0,CRID+LINENO,CRID(Request ID) +   LINENO(No.) +   ,No,
CCMIMPSQD,CCMSQD1,CRID+SORTSEQ,CRID(Request ID) +   SORTSEQ(Sort sequence) +   ,No,
CCMIMPSQD,CCMSQD2,CRID+BPCORD+SQHNUM,CRID(Request ID) +   BPCORD(Sold-to) +   SQHNUM(Quote no.) +   ,Yes,
CCMIMPSQH,CCMSQH0,CRID,CRID(Request ID) +   ,No,
CCMPLAND,CCMPD_0,CRID+LINENO,CRID(Request ID) +   LINENO(Line no.) +   ,No,
CCMPLAND,CCMPD_1,CRID+SORTSEQ,CRID(Request ID) +   SORTSEQ(Sort sequence) +   ,Yes,
CCMPLANH,CCMPH_0,CRID,CRID(Request ID) +   ,No,
CCMREJDSC,CCMCR0,CRID,CRID(Request ID) +   ,No,
CCMVCREXC,CVE0,VCRTYP+VCRNUM+VCRLIN+VCRSEQ+ITMREF,VCRTYP +   VCRNUM +   VCRLIN +   VCRSEQ +   ITMREF +   ,No,
CCMVCREXC,CVE1,CCMRID+CCMSTA,CCMRID +   CCMSTA +   ,Yes,
CCMVCREXC,CVE2,STOFCY+ITMREF,STOFCY +   ITMREF +   ,Yes,
CCNCOE,COE0,CPY+CCNACTCOD,CPY +   CCNACTCOD +   ,No,
CCNRPR,RPR0,AASREF+FIYENDDAT+PERENDDAT,AASREF +   FIYENDDAT +   PERENDDAT +   ,No,
CCNRPR,RPR7,FLGDEV+CPY+FIYENDDAT+PERENDDAT,FLGDEV +   CPY +   FIYENDDAT +   PERENDDAT +   ,Yes,
CDFCOD,CDC,REFCDF+VALOLDCOD,REFCDF +   VALOLDCOD +   ,No,
CDFCPY,CDS,REFCDF+CPY,REFCDF +   CPY +   ,No,
CDFFCY,CDY,REFCDF+FCY,REFCDF +   FCY +   ,No,
CDFPAR,CDF0,REFCDF,REFCDF +   ,No,
CDFPAR,CDF1,TABNAM+REFCDF,TABNAM +   REFCDF +   ,No,
CDFPAR,CDF2,TABNAM+REFCDF+CPYSRC+CPYDES,TABNAM +   REFCDF +   CPYSRC +   CPYDES +   ,No,
CDIADSP,DAD0,LED+COD+LIN,LED(Ledger) +   COD(Code) +   LIN(Line number) +   ,No,
CDIADSP,DAD1,LED+COD,LED(Ledger) +   COD(Code) +   ,Yes,
CFGABQ,CAB0,ABQNUM+ABQLIN,ABQNUM(Calc. table) +   ABQLIN(Line) +   ,No,
CFGABQ,CAB1,ABQNUM+ALPENDVAL+NUMENDVAL+DATENDVAL,ABQNUM(Calc. table) +   ALPENDVAL(End date) +   NUMENDVAL(End date) +   DATENDVAL(End date) +   ,Yes,
CFGABQ,CAB2,ABQNUM+ALPSTRVAL+NUMSTRVAL+DATSTRVAL+ALPSTRVALY+NUMSTRVALY+DATSTRVALY,ABQNUM(Calc. table) +   ALPSTRVAL(Start range) +   NUMSTRVAL(Start range) +   DATSTRVAL(Start range) +   ALPSTRVALY(Start range) +   NUMSTRVALY(Start range) +   DATSTRVALY(Start range) +   ,Yes,
CFGDEF,CDF0,RECCOD+CODFIC+CODFLD+SCENUM,RECCOD(Code) +   CODFIC(Table code) +   CODFLD(Field code) +   SCENUM(Scenario) +   ,No,
CFGDEF,CDF1,RECCOD+CODFIC+SCENUM+CODFLD,RECCOD(Code) +   CODFIC(Table code) +   SCENUM(Scenario) +   CODFLD(Field code) +   ,No,
CFGHIS,CFH0,SCENUM+CFGVCRNUM+SYMNUM+SYMSEQ,SCENUM(Scenario) +   CFGVCRNUM(Journal number config) +   SYMNUM(Symbol) +   SYMSEQ(Sequence no.) +   ,No,
CFGHIS,CFH1,CFGVCRNUM+SCENUM+SYMNUM+SYMSEQ,CFGVCRNUM(Journal number config) +   SCENUM(Scenario) +   SYMNUM(Symbol) +   SYMSEQ(Sequence no.) +   ,No,
