Table,Abbreviation,Description,Module,Activity code,Column,Normal title,Dim.,Type,Length,Menu,Link expression,Cancellation,Act
BUDPURAUD,BUA,Audit,Financials,,COA,Chart code,10.0,COA,,,[COA]COA0=COA(indice),Delete,
BUDPURAUD,BUA,Audit,Financials,,CODGAU,Automatic journal,,A,10.0,,,,
BUDPURAUD,BUA,Audit,Financials,,CPY,Company,,CPY,,,[CPY]CPY0=[BUA]CPY,Delete,
BUDPURAUD,BUA,Audit,Financials,,CREDAT,Date created,,D,,,,,
BUDPURAUD,BUA,Audit,Financials,,CREDATTIM,Date time,,ADATIM,,,,,
BUDPURAUD,BUA,Audit,Financials,,CREUSR,Creation user,,AUS,,,[AUS]CODUSR=[BUA]CREUSR,Other,
BUDPURAUD,BUA,Audit,Financials,,CUR,Currency,,CUR,,,[TCU]TCU0=[BUA]CUR,Delete,
BUDPURAUD,BUA,Audit,Financials,,CURLED,Ledger currency,10.0,CUR,,,[TCU]TCU0=[BUA]CURLED,Delete,
BUDPURAUD,BUA,Audit,Financials,,DAT,Date,,D,,,,,
BUDPURAUD,BUA,Audit,Financials,,DIE,Dimension type code,9.0,DIE,,,[DIE]DIE0=DIE(indice),Delete,
BUDPURAUD,BUA,Audit,Financials,,FCY,Site,,FCY,,,[FCY]FCY0=[BUA]FCY,Delete,
BUDPURAUD,BUA,Audit,Financials,,FIY,Fiscal year,,C,2.0,,,,
BUDPURAUD,BUA,Audit,Financials,,GRDACT,Last reason,,M,15.0,2683.0,,,
BUDPURAUD,BUA,Audit,Financials,,GRDPCE,Last journal,,M,15.0,2684.0,,,
BUDPURAUD,BUA,Audit,Financials,,LED,Ledger,10.0,LED,,,[LED]LED0=LED(indice),Delete,
BUDPURAUD,BUA,Audit,Financials,,LEDTYP,Ledger type,10.0,M,,2644.0,,,
BUDPURAUD,BUA,Audit,Financials,,LIN,Line number,,L,8.0,,,,
BUDPURAUD,BUA,Audit,Financials,,NUM,Document no.,,VCR,,,,,
BUDPURAUD,BUA,Audit,Financials,,POSTPONED,Postponed,,M,4.0,1.0,,,
BUDPURAUD,BUA,Audit,Financials,,QTY,Quantity,,QTY,,,,,
BUDPURAUD,BUA,Audit,Financials,,REA,Carried out,,MD1,,,,,
BUDPURAUD,BUA,Audit,Financials,,REALED,Carried out,10.0,MD1,,,,,
BUDPURAUD,BUA,Audit,Financials,,SEQ,Sequence,,L,8.0,,,,
BUDPURAUD,BUA,Audit,Financials,,TYP,Document type,,M,15.0,2684.0,,,
BUDPURAUD,BUA,Audit,Financials,,TYPPCE,Entry type,,GTE,,,[GTE]GTE0=TYPPCE;[V]GSUPCLE,Delete,
BUDPURAUD,BUA,Audit,Financials,,UPDDAT,Change date,,D,,,,,
BUDPURAUD,BUA,Audit,Financials,,UPDDATTIM,Date time,,ADATIM,,,,,
BUDPURAUD,BUA,Audit,Financials,,UPDUSR,Change user,,AUS,,,[AUS]CODUSR=[BUA]UPDUSR,Other,
BUDREV,BRV,Budget review,Financials,GDD,ACC,Account,,GAC,,,[GAC]GAC0=COA;ACC,Delete,
BUDREV,BRV,Budget review,Financials,GDD,ACCNUM,Budget line,,UNQ,,,,,
BUDREV,BRV,Budget review,Financials,GDD,AMT,Amount,,MD1,,,,,
BUDREV,BRV,Budget review,Financials,GDD,AMTASK,Requested amount,,MD1,,,,,
BUDREV,BRV,Budget review,Financials,GDD,AMTPNV,Amount not distributed,,MD1,,,,,
BUDREV,BRV,Budget review,Financials,GDD,AMTPRS,Reserve amount,,MD1,,,,,
BUDREV,BRV,Budget review,Financials,GDD,AMTRAL,Extension,,MD1,,,,,
BUDREV,BRV,Budget review,Financials,GDD,AUUID,Single identifier,,AUUID,,,,,
BUDREV,BRV,Budget review,Financials,GDD,COA,Chart of accounts,,COA,,,[COA]COA0=[BRV]COA,Delete,
BUDREV,BRV,Budget review,Financials,GDD,CREDAT,Date created,,D,,,,,
BUDREV,BRV,Budget review,Financials,GDD,CREDATTIM,Date time,,ADATIM,,,,,
BUDREV,BRV,Budget review,Financials,GDD,CRETIM,Time,,L,8.0,,,,
BUDREV,BRV,Budget review,Financials,GDD,CREUSR,Creation author,,A,5.0,,,,
BUDREV,BRV,Budget review,Financials,GDD,CUR,Currency,,CUR,,,[TCU]TCU0=[BRV]CUR,Delete,
BUDREV,BRV,Budget review,Financials,GDD,DMDDAT,Request date,,D,,,,,
BUDREV,BRV,Budget review,Financials,GDD,ENT,Recipient entity,,ENT,,,[ENT]ENT0=[BRV]ENT,Delete,
BUDREV,BRV,Budget review,Financials,GDD,ENV,Envelope,,ENV,,,[ENV]ENV0=[BRV]ENV,Delete,GDD
BUDREV,BRV,Budget review,Financials,GDD,EXPNUM,Export number,,L,8.0,,,,
BUDREV,BRV,Budget review,Financials,GDD,FIY,Fiscal year,,C,2.0,,,,
BUDREV,BRV,Budget review,Financials,GDD,NUM,Review no.,,A,12.0,,,,
BUDREV,BRV,Budget review,Financials,GDD,RENTAB,Request reason,,ADI,,,[ADI]CODE=349;RENTAB,Block,
BUDREV,BRV,Budget review,Financials,GDD,RENTXT,Refusal reason,,ACB,,,,,
BUDREV,BRV,Budget review,Financials,GDD,STA,Status,,M,3.0,2699.0,,,
BUDREV,BRV,Budget review,Financials,GDD,TYP,Review type,,M,3.0,2694.0,,,
BUDREV,BRV,Budget review,Financials,GDD,UPDDAT,Change date,,D,,,,,
BUDREV,BRV,Budget review,Financials,GDD,UPDDATTIM,Date time,,ADATIM,,,,,
BUDREV,BRV,Budget review,Financials,GDD,UPDTIM,Time,,L,8.0,,,,
BUDREV,BRV,Budget review,Financials,GDD,UPDUSR,Change author,,A,5.0,,,,
BUDREVDET,BVD,Review detail,Financials,GDD,ACC,Account,,GAC,,,[GAC]GAC0=COA;ACC,Delete,
BUDREVDET,BVD,Review detail,Financials,GDD,ACCNUM,Budget line,,UNQ,,,,,
BUDREVDET,BVD,Review detail,Financials,GDD,AMT,Amount,,MD1,,,,,
BUDREVDET,BVD,Review detail,Financials,GDD,AMTASK,Requested amount,,MD1,,,,,
BUDREVDET,BVD,Review detail,Financials,GDD,AMTPNV,Amount not distributed,,MD1,,,,,
BUDREVDET,BVD,Review detail,Financials,GDD,AMTPRS,Reserve amount,,MD1,,,,,
BUDREVDET,BVD,Review detail,Financials,GDD,AMTRAL,Extension,,MD1,,,,,
BUDREVDET,BVD,Review detail,Financials,GDD,AUUID,Single identifier,,AUUID,,,,,
BUDREVDET,BVD,Review detail,Financials,GDD,COA,Chart code,,COA,,,[COA]COA0=[BVD]COA,Delete,
BUDREVDET,BVD,Review detail,Financials,GDD,CREDATTIM,Date time,,ADATIM,,,,,
BUDREVDET,BVD,Review detail,Financials,GDD,CREUSR,User,,AUS,,,[AUS]CODUSR=[BVD]CREUSR,Other,
BUDREVDET,BVD,Review detail,Financials,GDD,CUR,Currency,,CUR,,,[TCU]TCU0=[BVD]CUR,Delete,
BUDREVDET,BVD,Review detail,Financials,GDD,ENT,Recipient entity,,ENT,,,[ENT]ENT0=[BVD]ENT,Delete,
BUDREVDET,BVD,Review detail,Financials,GDD,ENV,Envelope,,ENV,,,[ENV]ENV0=[BVD]ENV,Delete,GDD
BUDREVDET,BVD,Review detail,Financials,GDD,FIY,Fiscal year,,C,2.0,,,,
BUDREVDET,BVD,Review detail,Financials,GDD,NUMERO,Number,,C,2.0,,,,
BUDREVDET,BVD,Review detail,Financials,GDD,NUMREV,Review no.,,A,12.0,,,,
BUDREVDET,BVD,Review detail,Financials,GDD,TYP,Review type,,M,4.0,2694.0,,,
BUDREVDET,BVD,Review detail,Financials,GDD,UPDDATTIM,Date time,,ADATIM,,,,,
BUDREVDET,BVD,Review detail,Financials,GDD,UPDUSR,User,,AUS,,,[AUS]CODUSR=[BVD]UPDUSR,Other,
BUDTYP,BUT,Budget type,Financials,GDD,AUUID,Single identifier,,AUUID,,,,,
BUDTYP,BUT,Budget type,Financials,GDD,BUDCOD,Code,,A,5.0,,,,
BUDTYP,BUT,Budget type,Financials,GDD,COU,Sequence number,,ANM,,,[ANM]ANM0=[BUT]COU,Block,
BUDTYP,BUT,Budget type,Financials,GDD,CREDAT,Date created,,D,,,,,
BUDTYP,BUT,Budget type,Financials,GDD,CREDATTIM,Date time,,ADATIM,,,,,
BUDTYP,BUT,Budget type,Financials,GDD,CRETIM,Time,,L,8.0,,,,
BUDTYP,BUT,Budget type,Financials,GDD,CREUSR,Creation author,,A,5.0,,,,
BUDTYP,BUT,Budget type,Financials,GDD,DESTRA,Description,,AX3,,,,,
BUDTYP,BUT,Budget type,Financials,GDD,EXPNUM,Export number,,L,8.0,,,,
BUDTYP,BUT,Budget type,Financials,GDD,GFY,Group of company,,AGC,,,[AGF]AGF0=[BUT]GFY,Block,
BUDTYP,BUT,Budget type,Financials,GDD,LEG,Legislation,,ADI,,,[ADI]CODE=909;LEG,Block,
BUDTYP,BUT,Budget type,Financials,GDD,MANCOU,Manual sequence no.,,M,20.0,1.0,,,
BUDTYP,BUT,Budget type,Financials,GDD,SHOTRA,Short description,,AX1,,,,,
BUDTYP,BUT,Budget type,Financials,GDD,UPDDAT,Change date,,D,,,,,
BUDTYP,BUT,Budget type,Financials,GDD,UPDDATTIM,Date time,,ADATIM,,,,,
BUDTYP,BUT,Budget type,Financials,GDD,UPDTIM,Time,,L,8.0,,,,
BUDTYP,BUT,Budget type,Financials,GDD,UPDUSR,Change author,,A,5.0,,,,
BUDTYP,BUT,Budget type,Financials,GDD,YEAFLG,Budget category,,M,2.0,2692.0,,,
BUDVARCAL,BVC,Budget calculation variable,Financials,,AUUID,Single identifier,,AUUID,,,,,
BUDVARCAL,BVC,Budget calculation variable,Financials,,BUDFOR,Formula,,A,10.0,,,,
BUDVARCAL,BVC,Budget calculation variable,Financials,,CREDATTIM,Date time,,ADATIM,,,,,
BUDVARCAL,BVC,Budget calculation variable,Financials,,CREUSR,User,,AUS,,,[AUS]CODUSR=[BVC]CREUSR,Other,
BUDVARCAL,BVC,Budget calculation variable,Financials,,DES,Description,,DES,,,,,
BUDVARCAL,BVC,Budget calculation variable,Financials,,UPDDATTIM,Date time,,ADATIM,,,,,
BUDVARCAL,BVC,Budget calculation variable,Financials,,UPDUSR,User,,AUS,,,[AUS]CODUSR=[BVC]UPDUSR,Other,
BUDVARCAL,BVC,Budget calculation variable,Financials,,VARCOD,Variable,,A,10.0,,,,
BUDVARCAL,BVC,Budget calculation variable,Financials,,VARVAL,Value,30.0,A,20.0,,,,
BUDVER,BUV,Budget versions,Financials,,AUUID,Single identifier,,AUUID,,,,,
BUDVER,BUV,Budget versions,Financials,,BUD,Budget,,BUP,,,[BUP]BUP0=[BUV]BUD,Block,
BUDVER,BUV,Budget versions,Financials,,CREDATTIM,Date time,,ADATIM,,,,,
BUDVER,BUV,Budget versions,Financials,,CREUSR,User,,AUS,,,[AUS]CODUSR=[BUV]CREUSR,Other,
BUDVER,BUV,Budget versions,Financials,,CTL,Final,,M,4.0,1.0,,,
BUDVER,BUV,Budget versions,Financials,,DEF,By default,,M,4.0,1.0,,,
BUDVER,BUV,Budget versions,Financials,,DESTRA,Description,,AX3,,,,,
BUDVER,BUV,Budget versions,Financials,,SHOTRA,Short description,,AX1,,,,,
BUDVER,BUV,Budget versions,Financials,,STA,Status,,M,15.0,2669.0,,,
BUDVER,BUV,Budget versions,Financials,,UPDDATTIM,Date time,,ADATIM,,,,,
BUDVER,BUV,Budget versions,Financials,,UPDUSR,User,,AUS,,,[AUS]CODUSR=[BUV]UPDUSR,Other,
BUDVER,BUV,Budget versions,Financials,,VER,Version,,BUV,,,[BUV]BUV0=BUD;VER,Delete,
BUILOCSPA,BLS,Building location,Financials,KSP,AUUID,Single identifier,,AUUID,,,,,
BUILOCSPA,BLS,Building location,Financials,KSP,BUILOC,Location,,M,12.0,3611.0,,,
BUILOCSPA,BLS,Building location,Financials,KSP,CDRREF,Cadastre,,A,25.0,,,,
BUILOCSPA,BLS,Building location,Financials,KSP,CREDATTIM,Date time,,ADATIM,,,,,
BUILOCSPA,BLS,Building location,Financials,KSP,CREUSR,User,,AUS,,,[AUS]CODUSR=[BLS]CREUSR,Other,
BUILOCSPA,BLS,Building location,Financials,KSP,NUM,Document no.,,VCR,,,,,
BUILOCSPA,BLS,Building location,Financials,KSP,UPDDATTIM,Date time,,ADATIM,,,,,
BUILOCSPA,BLS,Building location,Financials,KSP,UPDUSR,User,,AUS,,,[AUS]CODUSR=[BLS]UPDUSR,Other,
CADISTMP,DTP,Budget weighting codes,Financials,,AUUID,Single identifier,,AUUID,,,,,
CADISTMP,DTP,Budget weighting codes,Financials,,COE,Coefficients,12.0,DCB,9.0,,,,
CADISTMP,DTP,Budget weighting codes,Financials,,CREDAT,Date created,,D,,,,,
CADISTMP,DTP,Budget weighting codes,Financials,,CREDATTIM,Date time,,ADATIM,,,,,
CADISTMP,DTP,Budget weighting codes,Financials,,CREUSR,Creation user,,A,5.0,,,,
CADISTMP,DTP,Budget weighting codes,Financials,,DES,Description,,DES,,,,,
CADISTMP,DTP,Budget weighting codes,Financials,,DESTRA,Description,,AX3,,,,,
CADISTMP,DTP,Budget weighting codes,Financials,,DTP,Distribution,,DTP,,,[DTP]DTP0=[DTP]DTP,Delete,
CADISTMP,DTP,Budget weighting codes,Financials,,EXPNUM,Export number,,L,8.0,,,,
CADISTMP,DTP,Budget weighting codes,Financials,,SHOTRA,Short description,,AX1,,,,,
CADISTMP,DTP,Budget weighting codes,Financials,,UPDDAT,Change date,,D,,,,,
CADISTMP,DTP,Budget weighting codes,Financials,,UPDDATTIM,Date time,,ADATIM,,,,,
CADISTMP,DTP,Budget weighting codes,Financials,,UPDUSR,Change user,,A,5.0,,,,
CAPFLOTMP,CWT,Capital flow,Financials,KPO,AMT,Amount,12.0,DCB,9.2,,,,
CAPFLOTMP,CWT,Capital flow,Financials,KPO,AUUID,Single identifier,,AUUID,,,,,
CAPFLOTMP,CWT,Capital flow,Financials,KPO,CREDATTIM,Date time,,ADATIM,,,,,
CAPFLOTMP,CWT,Capital flow,Financials,KPO,CREUSR,User,,AUS,,,[AUS]CODUSR=[CWT]CREUSR,Other,
CAPFLOTMP,CWT,Capital flow,Financials,KPO,LIN,Line number,,C,2.0,,,,
CAPFLOTMP,CWT,Capital flow,Financials,KPO,NUMREQ,Query no.,,L,8.0,,,,
CAPFLOTMP,CWT,Capital flow,Financials,KPO,UPDDATTIM,Date time,,ADATIM,,,,,
CAPFLOTMP,CWT,Capital flow,Financials,KPO,UPDUSR,User,,AUS,,,[AUS]CODUSR=[CWT]UPDUSR,Other,
CASHPAYSPA,CPS,Cash payments,Financials,KSP,ACCNUM,Internal number,,UNQ,,,,,
CASHPAYSPA,CPS,Cash payments,Financials,KSP,AMOUNT,Amount,,MD1,,,,,
CASHPAYSPA,CPS,Cash payments,Financials,KSP,AUUID,Single identifier,,AUUID,,,,,
CASHPAYSPA,CPS,Cash payments,Financials,KSP,BPRNUM,BP code,,BPR,,,[BPR]BPR0=BPRNUM,Block,
CASHPAYSPA,CPS,Cash payments,Financials,KSP,CPY,Company,,CPY,,,[CPY]CPY0=[CPS]CPY,Block,
CASHPAYSPA,CPS,Cash payments,Financials,KSP,CREDATTIM,Date time,,ADATIM,,,,,
CASHPAYSPA,CPS,Cash payments,Financials,KSP,CREUSR,User,,AUS,,,[AUS]CODUSR=[CPS]CREUSR,Other,
CASHPAYSPA,CPS,Cash payments,Financials,KSP,DATGAS,Entry date,,D,,,,,
CASHPAYSPA,CPS,Cash payments,Financials,KSP,FCY,Site,,FCY,,,[FCY]FCY0=[CPS]FCY,Delete,
CASHPAYSPA,CPS,Cash payments,Financials,KSP,INVDAT,Invoice date,,D,,,,,
CASHPAYSPA,CPS,Cash payments,Financials,KSP,INVNUM,Invoice number,,VCR,,,,,
CASHPAYSPA,CPS,Cash payments,Financials,KSP,LIN,Line no.,,L,8.0,,,,
CASHPAYSPA,CPS,Cash payments,Financials,KSP,NUM,Document no.,,VCR,,,,,
CASHPAYSPA,CPS,Cash payments,Financials,KSP,TYP,Entry type,,GTE,,,[GTE]GTE0=TYP;LEG,Block,
CASHPAYSPA,CPS,Cash payments,Financials,KSP,UPDDATTIM,Date time,,ADATIM,,,,,
CASHPAYSPA,CPS,Cash payments,Financials,KSP,UPDUSR,User,,AUS,,,[AUS]CODUSR=[CPS]UPDUSR,Other,
CDIADSP,DAD,Dimension allocations,Financials,,ACCDEN,Destination account,,GAC,,,[GAC]GAC0=COA;ACCDEN,Block,
CDIADSP,DAD,Dimension allocations,Financials,,ACCDSP,Distribution account,,A,220.0,,,,
CDIADSP,DAD,Dimension allocations,Financials,,ACCORI,Source account,,GAC,,,[GAC]GAC0=COA;ACCORI,Block,
CDIADSP,DAD,Dimension allocations,Financials,,ACCREF,Account to distribute,,A,15.0,,,,
CDIADSP,DAD,Dimension allocations,Financials,,ACS,Access code,,ACS,,,[ACS]ACS0=[DAD]ACS,Block,
CDIADSP,DAD,Dimension allocations,Financials,,AUUID,Single identifier,,AUUID,,,,,
CDIADSP,DAD,Dimension allocations,Financials,,BLAFLG,Balance,,M,4.0,1.0,,,
CDIADSP,DAD,Dimension allocations,Financials,,CCERCP,Receiving dimension,,A,15.0,,,,
CDIADSP,DAD,Dimension allocations,Financials,,CCEREF,Dimension to distribute,,A,15.0,,,,
CDIADSP,DAD,Dimension allocations,Financials,,COA,Chart code,,COA,,,[COA]COA0=[DAD]COA,Block,
CDIADSP,DAD,Dimension allocations,Financials,,COD,Code,,DAD,,,[DAD]DAD0=LED;COD;LIN,Other,
CDIADSP,DAD,Dimension allocations,Financials,,CREDAT,Date created,,D,,,,,
CDIADSP,DAD,Dimension allocations,Financials,,CREDATTIM,Date time,,ADATIM,,,,,
CDIADSP,DAD,Dimension allocations,Financials,,CRETIM,Time,,L,8.0,,,,
CDIADSP,DAD,Dimension allocations,Financials,,CREUSR,Creation user,,A,5.0,,,,
CDIADSP,DAD,Dimension allocations,Financials,,DES,Description,,DES,,,,,
CDIADSP,DAD,Dimension allocations,Financials,,DESSHO,Short description,,SHO,,,,,
CDIADSP,DAD,Dimension allocations,Financials,,DESTRA,Description,,AX3,,,,,
CDIADSP,DAD,Dimension allocations,Financials,,DIE,Dimension type code,,DIE,,,[DIE]DIE0=[DAD]DIE,Block,
CDIADSP,DAD,Dimension allocations,Financials,,EXPNUM,Export number,,L,8.0,,,,
CDIADSP,DAD,Dimension allocations,Financials,,FRWCCE,Carryforward,,M,4.0,1.0,,,
CDIADSP,DAD,Dimension allocations,Financials,,GSP,Receiving group,,A,10.0,,,,
CDIADSP,DAD,Dimension allocations,Financials,,LED,Ledger,,LED,,,[LED]LED0=[DAD]LED,Delete,
CDIADSP,DAD,Dimension allocations,Financials,,LIN,Line number,,C,3.0,,,,
CDIADSP,DAD,Dimension allocations,Financials,,PRC,% distribution,,DCB,2.2,,,,
CDIADSP,DAD,Dimension allocations,Financials,,SHOTRA,Short description,,AX1,,,,,
CDIADSP,DAD,Dimension allocations,Financials,,TYP,Type,,M,15.0,633.0,,,
CDIADSP,DAD,Dimension allocations,Financials,,UOM,Unit,,UOM,,,[TUN]TUN0=[DAD]UOM,Block,
CDIADSP,DAD,Dimension allocations,Financials,,UPDDAT,Change date,,D,,,,,
CDIADSP,DAD,Dimension allocations,Financials,,UPDDATTIM,Date time,,ADATIM,,,,,
CDIADSP,DAD,Dimension allocations,Financials,,UPDTIM,Time,,L,8.0,,,,
CDIADSP,DAD,Dimension allocations,Financials,,UPDUSR,Change user,,A,5.0,,,,
CDIADSP,DAD,Dimension allocations,Financials,,VLYEND,Validity end date,,D,,,,,
CDIADSP,DAD,Dimension allocations,Financials,,VLYSTR,Validity start date,,D,,,,,
CSFPARH,CWH,Header extraction parameters,Financials,CSFLO,AUUID,Single identifier,,AUUID,,,,,
CSFPARH,CWH,Header extraction parameters,Financials,CSFLO,CODANY,Extraction code,,A,10.0,,,,
CSFPARH,CWH,Header extraction parameters,Financials,CSFLO,CREDAT,Date created,,D,,,,,
CSFPARH,CWH,Header extraction parameters,Financials,CSFLO,CREDATTIM,Date time,,ADATIM,,,,,
CSFPARH,CWH,Header extraction parameters,Financials,CSFLO,CREUSR,Creation user,,A,5.0,,,,
CSFPARH,CWH,Header extraction parameters,Financials,CSFLO,DES,Long title,,DES,,,,,
CSFPARH,CWH,Header extraction parameters,Financials,CSFLO,DESSHO,Short description,,SHO,,,,,
CSFPARH,CWH,Header extraction parameters,Financials,CSFLO,DESTRA,Description,,AX3,,,,,
CSFPARH,CWH,Header extraction parameters,Financials,CSFLO,ENAFLG,Active,,M,4.0,1.0,,,
CSFPARH,CWH,Header extraction parameters,Financials,CSFLO,EXTFLG,Tax incl. extraction,,M,4.0,1.0,,,
CSFPARH,CWH,Header extraction parameters,Financials,CSFLO,FRM,Accounts,,A,250.0,,,,
CSFPARH,CWH,Header extraction parameters,Financials,CSFLO,RATDEVFLG,Include rate deviations,,M,4.0,1.0,,,
CSFPARH,CWH,Header extraction parameters,Financials,CSFLO,SHOTRA,Short description,,AX1,,,,,
CSFPARH,CWH,Header extraction parameters,Financials,CSFLO,TYPMNT,Amount type,,M,15.0,2665.0,,,
CSFPARH,CWH,Header extraction parameters,Financials,CSFLO,UPDDAT,Change date,,D,,,,,
CSFPARH,CWH,Header extraction parameters,Financials,CSFLO,UPDDATTIM,Date time,,ADATIM,,,,,
CSFPARH,CWH,Header extraction parameters,Financials,CSFLO,UPDUSR,Change user,,A,5.0,,,,
CSFPARL,CWL,Line extraction parameters,Financials,CSFLO,AUUID,Single identifier,,AUUID,,,,,
CSFPARL,CWL,Line extraction parameters,Financials,CSFLO,COD1,Code,,A,10.0,,,,
CSFPARL,CWL,Line extraction parameters,Financials,CSFLO,COD2,Subcode,,A,10.0,,,,
CSFPARL,CWL,Line extraction parameters,Financials,CSFLO,CODANY,Extraction code,,A,10.0,,,,
CSFPARL,CWL,Line extraction parameters,Financials,CSFLO,CREDATTIM,Date time,,ADATIM,,,,,
CSFPARL,CWL,Line extraction parameters,Financials,CSFLO,CREUSR,User,,AUS,,,[AUS]CODUSR=[CWL]CREUSR,Other,
CSFPARL,CWL,Line extraction parameters,Financials,CSFLO,LIBEL,Description,,A,50.0,,,,
CSFPARL,CWL,Line extraction parameters,Financials,CSFLO,LIG,Line number,,C,3.0,,,,
CSFPARL,CWL,Line extraction parameters,Financials,CSFLO,ORIFRM,Accounts,,A,250.0,,,,
CSFPARL,CWL,Line extraction parameters,Financials,CSFLO,UPDDATTIM,Date time,,ADATIM,,,,,
CSFPARL,CWL,Line extraction parameters,Financials,CSFLO,UPDUSR,User,,AUS,,,[AUS]CODUSR=[CWL]UPDUSR,Other,
CSFRES,CWR,Extraction result,Financials,,AMTLED,Ledger amount,,MD1,,,,,
CSFRES,CWR,Extraction result,Financials,,AUUID,Single identifier,,AUUID,,,,,
CSFRES,CWR,Extraction result,Financials,,COD1,Code,,A,10.0,,,,
CSFRES,CWR,Extraction result,Financials,,COD2,Subcode,,A,10.0,,,,
CSFRES,CWR,Extraction result,Financials,,CODANY,Extraction code,,A,10.0,,,,
CSFRES,CWR,Extraction result,Financials,,CPY,Company,,CPY,,,[CPY]CPY0=[CWR]CPY,Delete,
CSFRES,CWR,Extraction result,Financials,,CREDAT,Date created,,D,,,,,
CSFRES,CWR,Extraction result,Financials,,CREDATTIM,Date time,,ADATIM,,,,,
CSFRES,CWR,Extraction result,Financials,,CRETIM,Creation time,,HS,,,,,
CSFRES,CWR,Extraction result,Financials,,CREUSR,Creation user,,A,5.0,,,,
CSFRES,CWR,Extraction result,Financials,,CURLED,Ledger currency,,CUR,,,[TCU]TCU0=[CWR]CURLED,Block,
CSFRES,CWR,Extraction result,Financials,,DATDEB,Start date,,D,,,,,
CSFRES,CWR,Extraction result,Financials,,DATFIN,End date,,D,,,,,
CSFRES,CWR,Extraction result,Financials,,FCY,Site,,FCY,,,[FCY]FCY0=[CWR]FCY,Delete,
CSFRES,CWR,Extraction result,Financials,,LIBEL,Description,,A,50.0,,,,
CSFRES,CWR,Extraction result,Financials,,LIG,Line number,,C,3.0,,,,
CSFRES,CWR,Extraction result,Financials,,NUMRPT,Query no.,,RPT,,,,,
CSFRES,CWR,Extraction result,Financials,,UPDDATTIM,Date time,,ADATIM,,,,,
CSFRES,CWR,Extraction result,Financials,,UPDUSR,User,,AUS,,,[AUS]CODUSR=[CWR]UPDUSR,Other,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,ACC,Account,,GAC,,,[GAC]GAC0=[CSRD]ACC,BSRA,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,AMTLEDN,Ledger amount,,MD1,,,,,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,AMTLEDN1,Ledger amount (n-1),,MD1,,,,,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,AUUID,Single identifier,,AUUID,,,,,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,BPRNUM,BP code,,BPR,,,[BPR]BPR0=[CSRD]BPRNUM,Delete,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,COD1,Code,,A,10.0,,,,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,COD2,Subcode,,A,10.0,,,,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,CPYLIN,Company,,CPY,,,[CPY]CPY0=[CSRD]CPYLIN,Delete,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,CREDATTIM,Date time,,ADATIM,,,,,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,CREUSR,User,,AUS,,,[AUS]CODUSR=[CSRD]CREUSR,Other,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,CURLED,Ledger currency,,CUR,,,[TCU]TCU0=[CSRD]CURLED,Block,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,FCYLIN,Site,,FCY,,,[FCY]FCY0=[CSRD]FCYLIN,Delete,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,LIG,Line number,,C,3.0,,,,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,NUM,Document number,,VCR,,,,,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,NUMLIN,Line,,L,8.0,,,,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,NUMLINDET,Sequence no.,,L,8.0,,,,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,NUMRPT,Query no.,,RPT,,,,,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,PERIOD,Period,,C,4.0,,,,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,TYP,Entry type,,GTE,,,[GTE]GTE0=[CSRD]TYP,BSRA,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,UPDDATTIM,Date time,,ADATIM,,,,,
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,UPDUSR,User,,AUS,,,[AUS]CODUSR=[CSRD]UPDUSR,Other,
CSFRESH,CSRH,Cash flow analysis,Financials,CSFLO,ALLFCY,All sites,,M,4.0,1.0,,,
CSFRESH,CSRH,Cash flow analysis,Financials,CSFLO,AUUID,Single identifier,,AUUID,,,,,
CSFRESH,CSRH,Cash flow analysis,Financials,CSFLO,BETCPYDET,Intercompany detail,,M,18.0,1.0,,,
CSFRESH,CSRH,Cash flow analysis,Financials,CSFLO,CODANY,Extraction code,,A,10.0,,,,
CSFRESH,CSRH,Cash flow analysis,Financials,CSFLO,CPY,Company,,CPY,,,[CPY]CPY0=[CSRH]CPY,Delete,
CSFRESH,CSRH,Cash flow analysis,Financials,CSFLO,CREDAT,Date created,,D,,,,,
CSFRESH,CSRH,Cash flow analysis,Financials,CSFLO,CREDATTIM,Date time,,ADATIM,,,,,
