Table,Abbreviation,Description,Module,Activity code,TablesMappedToModelOnly,TablesMappedToSubModel,linkedTablewithDescription
AWINBOUT,AWT,Window button dictionary,Supervisor,,,,"ACTIV  (Activity codes  ) , AWINDOW  (Window dictionary  ) , ACTION  (Action dictionary  )"
AWINBRO,AWB,Browser window dictionary,Supervisor,,,,"ACTIV  (Activity codes  ) , AOBJET  (Basic objects  ) , AWINDOW  (Window dictionary  )"
AWINDOW,AWI,Window dictionary,Supervisor,,,,"ACTIV  (Activity codes  ) , ACCCOD  (Access codes  ) , AOBJET  (Basic objects  ) , ACONSULT  (Inquiries  ) , AWINDOW  (Window dictionary  ) , ACTION  (Action dictionary  ) , AMSK  (Screen dictionary  )"
PARSTA1,PS1,Statistical triggers,Supervisor,,,,"ACTIV  (Activity codes  ) , ATABLE  (Table dictionary  ) , PARSTA1  (Statistical triggers  )"
EDIFLO,EFL,Flow,Common Data,EDIX3,,,"ACTIV  (Activity codes  ) , EDIPARTNER  (EDI partners  ) , EDICAT  (EDI category  )"
ATEXMOD,ATM,Text sequence number by module,Manufacturing,,,,
EDIMSG,EMS,Message mapping,Common Data,EDIX3,,,"ACTIV  (Activity codes  ) , ATABLE  (Table dictionary  ) , ASHW  (Representations  ) , AOBJEXT  (Import/export templates  ) , AREPORT  (Report dictionary  ) , EDICAT  (EDI category  )"
EDIPTC,EPT,Protocol,Common Data,EDIX3,,,ACTIV  (Activity codes  )
EDISEQFIL,ESF,Sequential file,Common Data,EDIX3,,,"ACTIV  (Activity codes  ) , ATABDIV  (Miscellaneous tables  )"
ATMPTRA,ATT,Temporary trace file,Supervisor,,,,
GAUTACE,GAU,Automatic journals,Common Data,,"Manufacturing,Stock","Production Cost Calculation,Stock","ACTIV  (Activity codes  ) , ATABLE  (Table dictionary  ) , ATABDIV  (Miscellaneous tables  ) , ACTCODPAR  (Action parameters  ) , ACTION  (Action dictionary  ) , GAUTACE  (Automatic journals  )"
ATRADIS,TAT,Import/export tracking,Development,DIS,,,
GRPAUTACE,GRA,Automatic journal group,Common Data,,,,"ACTIV  (Activity codes  ) , GAUTACE  (Automatic journals  ) , GRPAUTACE  (Automatic journal group  )"
GVARGAU,GVG,Automatic journal variables,Common Data,,,,ACTIV  (Activity codes  )
ATYPELPAR,ATYLP,Data type parameters,Supervisor,,,,"ATYPE  (Data types  ) , ACLASSE  (Classes  )"
ATYPERPAR,ATYRP,Data type parameters,Supervisor,,,,"ATYPE  (Data types  ) , ACLASSE  (Classes  )"
AUDITBI,AUI,Audit bl,Supervisor,AUDIT,,,ATABLE  (Table dictionary  )
AUDITH,AUD,Audit - header,Supervisor,AUDIT,,,ATABLE  (Table dictionary  )
AUDITL,AUL,Audit - lines,Supervisor,AUDIT,,,
AUSRBPR,AUB,BP users,Supervisor,,,,ATABDIV  (Miscellaneous tables  )
AUSRSOL,AUO,Solution users,Supervisor,,,,
AVALATT,AVA,Sequence number values,Supervisor,,,,"ACODNUM  (Doc sequence numbers  ) , FACILITY  (Sites  )"
AVALNUM,AVN,Sequence number values,Supervisor,,,,ACODNUM  (Doc sequence numbers  )
AVIEWB,AVB,Dictionary of views,Supervisor,,,,AVIEW  (Dictionary of views  )
AVOLUME,AVL,Volume,Supervisor,,,,"ACCCOD  (Access codes  ) , AVOLUME  (Volume  )"
AWRKREG,AWR,Assignment rules,Supervisor,,,,"ATABLE  (Table dictionary  ) , ATYPE  (Data types  ) , ACCCOD  (Access codes  ) , AWRKLNK  (Data models  ) , COMPANY  (Company  ) , AWRKREG  (Assignment rules  )"
AWEBSERDES,AWY,Web service mapping,Supervisor,,,,
AWRKTAB,AWK,Data models,Supervisor,,,,"ATABLE  (Table dictionary  ) , ACLASSE  (Classes  ) , AWRKLNK  (Data models  )"
AWEBSERVIC,AWE,Web services,Supervisor,,,,AOBJET  (Basic objects  )
SINCENT,SNE,Price update definition,Sales,,,,"ATABLE  (Table dictionary  ) , ATYPE  (Data types  ) , ACCCOD  (Access codes  ) , ACTL  (Control tables  ) , TABCUR  (Currency table  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , SPRICCONF  (Customer pricing parameters  )"
CFGQST,CQU,Configurator symbols,Stock,CFG,,,"ATABLE  (Table dictionary  ) , ACODNUM  (Doc sequence numbers  ) , TABFOR  (Formula table  ) , CFGQST  (Configurator symbols  ) , TABCTL  (Response table  )"
CFGSEL,CSE,Configurator selections,Stock,CFG,,,"ATABLE  (Table dictionary  ) , CFGQST  (Configurator symbols  ) , CFGMAC  (Standard processes  ) , CFGSEL  (Configurator selections  ) , TABLINCFG  (Product lines  )"
CFGTEX,CFT,Configurator work file,Stock,CFG,,,ATABLE  (Table dictionary  )
AWINPAR,AWP,Window parameters,Supervisor,,,,"AWINDOW  (Window dictionary  ) , ACTCODPAR  (Action parameters  )"
EDICAT,ECA,EDI category,Common Data,EDIX3,,,"ATABLE  (Table dictionary  ) , EDICAT  (EDI category  )"
AWRKHISDES,AWO,Workflow history,Supervisor,,,,
EDICATD,ECAD,EDI category (filters),Common Data,EDIX3,,,"ATABLE  (Table dictionary  ) , EDICAT  (EDI category  )"
AWRKHISJOI,AWJ,Workflow history,Supervisor,,,,
EDICATK,ECAK,EDI category (authorizations),Common Data,EDIX3,,,"ATABLE  (Table dictionary  ) , EDICAT  (EDI category  )"
AWRKHISMES,AWG,Worksflow message history,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , AOBJET  (Basic objects  )"
AWRKHISSUI,AWS,Workflow tracking archive,Supervisor,,,,"ATABTAB  (Miscellaneous table set-up  ) , ATABDIV  (Miscellaneous tables  ) , AOBJET  (Basic objects  ) , COMPANY  (Company  ) , AWRKPAR  (Workflow rules  )"
EDITMPDOC,ETC,Documents,Common Data,EDIX3,,,"ATABLE  (Table dictionary  ) , ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  )"
GAUTACED,GAD,Automatic journals (lines),Common Data,,,,"ATABLE  (Table dictionary  ) , ATABDIV  (Miscellaneous tables  ) , CACCEDEF  (Default dimensions  ) , GAUTACE  (Automatic journals  )"
GAUTRCVCR,GAT,Automatic journal traceability,Common Data,,,,"ATABLE  (Table dictionary  ) , TABCUR  (Currency table  ) , GTYPACCENT  (Document types  ) , GAUTACE  (Automatic journals  )"
AWRKPARC,AWC,Workflow rules (actions),Supervisor,,,,"ACTCODPAR  (Action parameters  ) , ACTION  (Action dictionary  ) , AWRKPAR  (Workflow rules  )"
ITCDET,ICD,Detail cost for printing,Common Data,,,,"ATABLE  (Table dictionary  ) , FACILITY  (Sites  ) , ITMFACILIT  (Products-sites  )"
AWRKPARF,AWF,Workflow rules (signature),Supervisor,,,,"ATABTAB  (Miscellaneous table set-up  ) , ATABDIV  (Miscellaneous tables  ) , AWRKPAR  (Workflow rules  )"
MAILXMLD,MXD,Mass mailing lines XML,Common Data,,,,ATABLE  (Table dictionary  )
AWRKPARH,AWH,Workflow rules (recipient),Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , AWRKPAR  (Workflow rules  )"
AWRKPARX,AWX,Simplified workflow,Supervisor,,,,AWRKPAR  (Workflow rules  )
MMSDEFVAL,MMV,MMS default values,Common Data,,,,ATABLE  (Table dictionary  )
AWRKREGVAL,AWV,User assignment,Supervisor,,,,"COMPANY  (Company  ) , AWRKREG  (Assignment rules  )"
PIVZON,PIZ,Pivot areas,Common Data,,,,ATABLE  (Table dictionary  )
AWRKTRN,AWW,Workflow workbench,Supervisor,,,,"ACCCOD  (Access codes  ) , AWRKTRN  (Workflow workbench  )"
AWRKTRND,AWD,Workflow workbench,Supervisor,,,,"ASTYLE  (Presentation styles  ) , AWRKTRN  (Workflow workbench  )"
PLMDEFVAL,PDV,PLM default values,Common Data,,,,ATABLE  (Table dictionary  )
AWRKUSR,AWU,User delegates,Supervisor,,,,ATABDIV  (Miscellaneous tables  )
SPRICCONF,SPC,Customer pricing parameters,Common Data,,Sales,"Cumulative Sales Orders,Sales Price","ATABLE  (Table dictionary  ) , ATYPE  (Data types  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , GDIE  (Dimension types  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , SPREASON  (Sales price list reasons  ) , SPRICCONF  (Customer pricing parameters  )"
AWSDL,AXL,Web services,Supervisor,,,,
TABVAC,TVC,Tax determination table,Common Data,,Common data,Common Tables,"ATABLE  (Table dictionary  ) , ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , TABVAT  (Tax code table  ) , TABVACBPR  (BP tax rule table  ) , TABVACITM  (Tax level table  )"
AWSDL1,AX1,Web services structure,Supervisor,,,,
AYTACT,AYA,Web action,Supervisor,AYT,,,
AYTADVPAR,AYU,Advanced setup,Supervisor,AYT,,,
AYTBASKED,AYK,Basket line,Supervisor,AYT,,,
AYTDOC,AYY,Html document,Supervisor,AYT,,,
AYTELTBLC,AYB,Blocks,Supervisor,AYT,,,
AYTELTBLCW,AYW,Conditioned blocks,Supervisor,AYT,,,
AYTELTDLK,AYL,Dynamic links,Supervisor,AYT,,,
AYTELTFLD,AYF,Field token,Supervisor,AYT,,,
PPRICCONF,PPC,Supplier pricing parameters,Common Data,,Purchasing,"Cumulative Purchase Orders,Purchase Price","ATYPE  (Data types  ) , TABCUR  (Currency table  ) , GDIE  (Dimension types  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , PPREASON  (Purchase price reasons  ) , PPRICCONF  (Supplier pricing parameters  )"
AYTELTSPE,AYX,Special fields,Supervisor,AYT,,,
AYTENT,AYE,Entity,Supervisor,AYT,,,
AYTFCY,AYS,Websites,Supervisor,AYT,,,
AYTFRM,AYZ,Form,Supervisor,AYT,,,
AYTINT,AYI,Interface,Supervisor,AYT,,,
AYTLINES,AYN,Lines by types,Supervisor,AYT,,,
AYTMEN,AYC,List of values,Supervisor,AYT,,,
AYTMES,AYM,Messages,Supervisor,AYT,,,
AYTPAG,AYG,Web pages,Supervisor,AYT,,,
AYTPOOWEB,AYO,Web services pools,Supervisor,AYT,,,
AYTPRF,AYD,Web site profile,Supervisor,AYT,,,
AYTPRFUSR,AYH,Safe X3 WAS profile,Supervisor,AYT,,,
GTABACC,GTC,Inquiry screens,Supervisor,,,,"ACCCOD  (Access codes  ) , ACONSULT  (Inquiries  ) , GTABACC  (Inquiry screens  )"
AYTPRFX3,AYR,Website user,Common Data,AYT,,,
BUDPAR,BUP,Budget setup,Financials,,Accounting,"Budgets,Operating Budgets","ACCCOD  (Access codes  ) , TABCUR  (Currency table  ) , GDIE  (Dimension types  ) , GCOA  (Chart of accounts  ) , BUDPAR  (Budget setup  ) , GACCPYM  (Account pyramids  ) , GCCEPYM  (Dimension pyramids  )"
AYTTEST,AYT,Tests,Supervisor,AYT,,,
CDIADSP,DAD,Dimension allocations,Financials,,,,"ACCCOD  (Access codes  ) , GDIE  (Dimension types  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  ) , CDIADSP  (Dimension allocations  )"
BALAGEEOY,BGY,EOFY aged overdue invoice list,Financials,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GTYPACCENT  (Document types  )"
ENTITE,ENT,Entity,Financials,GDD,Accounting,Operating Budgets,"ACCCOD  (Access codes  ) , COMPANY  (Company  ) , GDIE  (Dimension types  ) , ENTITE  (Entity  )"
BALANA,BLA,Analytical balance,Financials,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  )"
ENVELOPPE,ENV,Envelope,Financials,GDD,Accounting,Operating Budgets,"ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , BPARTNER  (Business partner  ) , BUDPAR  (Budget setup  ) , ENVELOPPE  (Envelope  ) , PROJET  (Project  ) , ENTITE  (Entity  ) , BUDTYP  (Budget type  )"
BALANCE,BAL,General balance,Financials,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  )"
GBAGSCR,GBS,Aged balance screen,Financials,,,,ACCCOD  (Access codes  )
BALCONSO,BLC,Consolidation trial balance,Financials,CSL,,,"TABCUR  (Currency table  ) , AGRPFCY  (Site groupings  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  )"
GDIAACC,GDA,Account scheme header,Financials,,Accounting,Accounting Data,"ACCCOD  (Access codes  ) , AGRPFCY  (Site groupings  ) , GDIE  (Dimension types  ) , GCOA  (Chart of accounts  ) , GDIAACC  (Account scheme header  )"
BALDEM,BAM,Double entry balance,Financials,KRU,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  )"
GDIAENTRY,GDE,Entry transactions,Financials,,Accounting,"Accounting Entry,Accounting Entry By Lot,Accounting Data","ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , GACM  (Account core model  ) , GDIAENTRY  (Entry transactions  ) , GDIAACC  (Account scheme header  ) , CACCEDEF  (Default dimensions  )"
BALDEMIDT,BAI,Double entry balance index,Financials,KRU,,,
GJOURNAL,JOU,Journal codes,Financials,,"Accounting,Purchasing,Sales","Accounting Entry,Accounting Entry By Lot,Purchase Invoice,Sales Invoice","ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , GJOURNAL  (Journal codes  )"
PROJET,PRJ,Project,Financials,GDD,Accounting,Operating Budgets,"ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , BPARTNER  (Business partner  ) , PROJET  (Project  )"
BANKPOSD,BPL,Banking position,A/P-A/R accounting,BANFO,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BANK  (Bank accounts  ) , BGRBAN  (Bank group  )"
BANREC,BEH,Bank Reconciliation Statement,A/P-A/R accounting,,,,BANK  (Bank accounts  )
BANRECD,BED,Bank Statement Lines,A/P-A/R accounting,,,,ATABDIV  (Miscellaneous tables  )
EXPENSESH,EXH,Expense,A/P-A/R accounting,,,,ACCCOD  (Access codes  )
BENCHTRS,BTS,Plan transaction,Stock,,,,"ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , GAUTACE  (Automatic journals  )"
GACCDENCOD,CDA,Payment attribute,A/P-A/R accounting,,Accounting,Payment,"ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , GACCCODE  (Accounting codes  ) , GTYPACCENT  (Document types  ) , GACCDENCOD  (Payment attribute  )"
BETCPY,BCH,Intercompany parameters,Common Data,,,,"AGRPFCY  (Site groupings  ) , SFOOTINV  (Invoicing elements  ) , TABSIVTYP  (Customer invoice type table  ) , TABSOHTYP  (Order type table  ) , TABPIVTYP  (Supp invoice type table  ) , PFOOTINV  (Purchase invoicing elements  )"
TABEXPENS,TES,Expenses tables,A/P-A/R accounting,,,,"ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , TABVAT  (Tax code table  ) , PJMCOSTCTR  (  ) , TABEXPENS  (Expenses tables  )"
BETCPYL,BCL,Intercompany parameters,Common Data,,,,AGRPFCY  (Site groupings  )
PURTRS,PTR,Entered purchase transactions,Purchasing,,,,"ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , AREPORT  (Report dictionary  ) , CACCEDEF  (Default dimensions  ) , GAUTACE  (Automatic journals  )"
BGRBAN,BGR,Bank group,A/P-A/R accounting,BANFO,,,BANK  (Bank accounts  )
CFGSCE,CSC,Configurator scenarios,Stock,CFG,,,"ACCCOD  (Access codes  ) , FACILITY  (Sites  ) , ITMMASTER  (Products  ) , TABBOMALT  (BOM codes  ) , CFGSCE  (Configurator scenarios  ) , CFGQST  (Configurator symbols  ) , TABROUALT  (BOM routings  )"
BILLLADC,BOLC,Bill of lading contents,Common Data,,,,
MFGTRS,MTS,Production entry transaction,Manufacturing,,,,"ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , AREPORT  (Report dictionary  ) , TABFOR  (Formula table  ) , GAUTACE  (Automatic journals  )"
BILLLADD,BOLD,Bill of lading detail,Common Data,,,,"TABUNIT  (Table of units of measure  ) , TABPACKAGE  (Packaging table  ) , FRTCLS  (Freight class  ) , FRTCOMCOD  (Freight commodity code  )"
ROUTING,ROH,Routings - header,Manufacturing,,Manufacturing,"Technical Data,Master Planning Schedule,Standard Cost Calculation","ACCCOD  (Access codes  ) , FACILITY  (Sites  ) , ITMMASTER  (Products  ) , TABROUALT  (BOM routings  )"
BOM,BOH,Header BOMS,Common Data,,Manufacturing,"Master Planning Schedule,Standard Cost Calculation","ACCCOD  (Access codes  ) , ITMMASTER  (Products  ) , TABBOMALT  (BOM codes  )"
CACCE,CCE,Dimensions,Common Data,,"Accounting,Common data,Manufacturing,Purchasing,Sales","Accounting Entry,Accounting Entry By Lot,Accounting Data,Budgets,Payment,Operating Budgets,Company and Sites,Item,Common Tables,Manufacturing Orders,Production Cost Calculation,Purchase Requests,Request For Quotations,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Receipts,Purchase Returns,Purchase Invoice,External Orders,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice,Sales Returns","ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , TABUNIT  (Table of units of measure  )"
BILSTA,BES,Statement of bill of exchange,A/P-A/R accounting,,Accounting,Payment,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BANK  (Bank accounts  )"
CADSP,DSP,Analytical allocations,Common Data,,Accounting,"Accounting Entry,Accounting Entry By Lot,Accounting Data,Payment","ACCCOD  (Access codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , CADSP  (Analytical allocations  )"
BITMPPORDERP,BIPOP,POs price,Purchasing,,,,
GACCOUNT,GAC,Accounts,Common Data,,"Accounting,Common data,Purchasing,Sales","Accounting Entry,Accounting Entry By Lot,Accounting Data,Budgets,Payment,Common Tables,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Receipts,Purchase Invoice,Sales Invoice","ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , TABVAT  (Tax code table  ) , CADISTMP  (Budget weighting codes  ) , CADSP  (Analytical allocations  ) , GACCCLS  (Account classes  )"
BITMPPORDERQ,BIPOQ,POs quantities,Purchasing,,,,
GACCPYM,GYM,Account pyramids,Common Data,,Accounting,Budgets,"ACCCOD  (Access codes  ) , GCOA  (Chart of accounts  ) , GACCPYM  (Account pyramids  )"
BITMPSORDERP,BISOP,Sales orders - price,Sales,,,,
GCCEPYM,CYM,Dimension pyramids,Common Data,,Accounting,Budgets,"ACCCOD  (Access codes  ) , GDIE  (Dimension types  ) , GCCEPYM  (Dimension pyramids  )"
BITMPSORDERQ,BISOQ,Sales orders - quantities,Sales,,,,
GCOA,COA,Chart of accounts,Common Data,,Accounting,"Accounting Entry,Accounting Entry By Lot,Accounting Data,Budgets,Payment","ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GACCPYM  (Account pyramids  ) , GACCCLS  (Account classes  )"
BLACMM,BLM,Analytical commitment balance,Financials,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  )"
GDIE,DIE,Dimension types,Common Data,,"Accounting,Sales","Accounting Entry,Accounting Entry By Lot,Accounting Data,Budgets,Payment,Quotation,Normal Sales Orders,Sales Deliveries,Sales Invoice,Sales Returns","ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  )"
BLAQTY,BLQ,Analytical quantity balance,Financials,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  )"
GTYPACCENT,GTE,Document types,Common Data,,"Accounting,Purchasing,Sales","Accounting Entry,Accounting Entry By Lot,Purchase Invoice,Sales Invoice","ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , AGRPFCY  (Site groupings  ) , GTYPACCENT  (Document types  ) , GJOURNAL  (Journal codes  ) , TABPAM  (Payment mode table  )"
BLOBEXPENSES,BEXP,Expense note photo,A/P-A/R accounting,,,,ATYPEPRO  (Content type  )
ITMMASTER,ITM,Products,Common Data,,"Common data,Customer relation,Manufacturing,Purchasing,Sales,Stock","Item,Service contract,Installed Base,Technical Data,Master Planning Schedule,Production Cost Calculation,Purchase Requests,Request For Quotations,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Receipts,Purchase Returns,Purchase Invoice,Purchase Price,Quotation,Sales Price,Stock","ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , COMPANY  (Company  ) , AREPORT  (Report dictionary  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , PJMCOSTCTR  (  ) , ITMMASTER  (Products  ) , TABVACITM  (Tax level table  ) , MATCHTOL  (Matching tolerance  ) , TABBOMALT  (BOM codes  ) , TABROUALT  (BOM routings  ) , TABLINCFG  (Product lines  ) , ITMCATEG  (Product category  ) , CONTTEMPL  (Service contract template  ) , ITMCPTVER  (Version counter setup  ) , ITMCUSNOM  (EU commodity code  ) , TABUNNBR  (  )"
BNKTRSIMP,BTI,Import transfers from Sage treasury,Financials,CASIN,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , GACCOUNT  (Accounts  ) , GJOURNAL  (Journal codes  )"
STKTRS,SRT,Stock transactions,Common Data,,,,"ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , AREPORT  (Report dictionary  ) , GAUTACE  (Automatic journals  )"
BOMD,BOD,Detail BOMs,Common Data,,Manufacturing,"Master Planning Schedule,Standard Cost Calculation","TABUNIT  (Table of units of measure  ) , TABFOR  (Formula table  ) , ITMMASTER  (Products  )"
TABBOMALT,TBO,BOM codes,Common Data,,"Manufacturing,Purchasing","Technical Data,Manufacturing Orders,Master Planning Schedule,Standard Cost Calculation,External Orders","ACCCOD  (Access codes  ) , FACILITY  (Sites  ) , TABBOMALT  (BOM codes  )"
BOMPRN,BOP,Print BOMs,Common Data,,,,"FACILITY  (Sites  ) , ITMMASTER  (Products  )"
TABPAYTYP,TPY,Payment types,A/P-A/R accounting,,Accounting,Payment,"ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , TABPAM  (Payment mode table  ) , TABPAYTYP  (Payment types  ) , GACCDENCOD  (Payment attribute  ) , GRPAUTACE  (Automatic journal group  ) , TABCODEDT  (Report code table  )"
BOMRET,BMR,Component requirements,Common Data,,,,"FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , ITMCATEG  (Product category  )"
TABROUALT,TRO,BOM routings,Common Data,,Manufacturing,"Technical Data,Manufacturing Orders,Standard Cost Calculation","ACCCOD  (Access codes  ) , FACILITY  (Sites  ) , TABBOMALT  (BOM codes  ) , TABROUALT  (BOM routings  )"
BOMWUS,BOW,Where-used BOM,Common Data,,,,"TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  )"
BOX1099,BX9,1099 box,Financials,S1099,,,
GDIAENTRYD,GDD,Journal entry transactions,Financials,,Accounting,Accounting Data,"ACTL  (Control tables  ) , GDIAENTRY  (Entry transactions  )"
BP1096PRN,B96R,1096 print table,Financials,S1099,,,"COMPANY  (Company  ) , AREPORT  (Report dictionary  )"
BP1099BEGBAL,B9B,1099 beginning balance,Financials,S1099,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , BPSUPPLIER  (Suppliers  )"
BP1099PRN,B9R,1099 print table,Financials,S1099,,,"COMPANY  (Company  ) , AREPORT  (Report dictionary  ) , BPSUPPLIER  (Suppliers  )"
BPCARRIER,BPT,Carriers,Common Data,,"Common data,Purchasing,Sales","Company and Sites,Business Partner,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Receipts,Purchase Returns,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice,Sales Returns","TABCUR  (Currency table  ) , COMPANY  (Company  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , TABFOR  (Formula table  )"
BPCINVLIG,SIL,Customer invoice lines,A/P-A/R accounting,,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  ) , TABVAT  (Tax code table  ) , PIMPL  (  ) , CADSP  (Analytical allocations  ) , PJMCOSTCTR  (  )"
BPCINVLIGA,SIA,Customer analytical line,A/P-A/R accounting,,,,"CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  )"
BPCINVVAT,SIT,Tax rates,A/P-A/R accounting,,,,TABVAT  (Tax code table  )
BPCUSTMVT,MVC,Customer transactions,Common Data,,Common data,Business Partner,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , BPARTNER  (Business partner  )"
